0,1,2
1379,760,16.0584716796875
1399,756,16.1951961517334
1408,758,16.14720916748047
1417,753,14.866740226745605
1427,757,13.257798194885254
1437,751,12.220487594604492
73,1073,32.40537643432617
372,1018,27.6522216796875
481,917,25.456377029418945
1490,745,11.135128021240234
1499,742,10.703451156616211
38,1012,29.324596405029297
139,1077,29.715986251831055
802,894,20.915061950683594
306,1017,26.910564422607422
377,1001,25.24692726135254
1558,735,10.44951343536377
1566,732,10.468395233154297
498,933,25.07099151611328
552,952,25.203901290893555
970,850,19.277809143066406
673,927,23.93903350830078
1026,836,18.85330581665039
838,887,22.566787719726562
868,888,22.150772094726562
1644,724,11.751463890075684
1653,723,11.765716552734375
938,860,21.507259368896484
963,850,21.1988525390625
1679,723,12.298482894897461
1688,719,12.63911247253418
1697,721,12.560261726379395
1705,719,11.973388671875
1091,822,20.407175064086914
1712,717,11.878604888916016
1100,816,20.173091888427734
1719,718,12.431513786315918
1124,812,20.097238540649414
1143,809,19.4666748046875
1738,716,11.928536415100098
1179,800,19.335798263549805
1758,719,12.322147369384766
1198,796,19.049869537353516
1216,792,18.6402530670166
1778,715,12.091065406799316
1233,786,18.242233276367188
1907,713,12.294119834899902
1789,715,12.135729789733887
1247,785,18.18484878540039
1263,781,18.14690589904785
1809,712,11.795989036560059
1279,777,17.83805274963379
1292,775,17.73577308654785
1819,712,11.956923484802246
1831,710,11.898809432983398
1320,769,17.188322067260742
1840,711,11.830870628356934
1853,710,11.596048355102539
1333,764,17.209333419799805
1346,762,16.827171325683594
1875,710,12.163686752319336
1885,709,11.903519630432129
1370,758,16.560985565185547
1382,757,16.56319236755371
1898,709,11.761861801147461
1392,763,16.376567840576172
1416,747,15.783740997314453
1593,725,13.671687126159668
1617,713,12.761672019958496
1627,714,12.772893905639648
1636,715,12.82895565032959
1642,713,12.522750854492188
1659,709,12.128094673156738
1722,711,11.706592559814453
1754,703,11.038599967956543
1773,700,11.031021118164062
1794,703,11.213353157043457
1804,703,11.25545883178711
1814,704,11.070716857910156
1849,701,10.723318099975586
1857,699,10.820976257324219
1872,701,11.022749900817871
1882,701,11.191241264343262
1895,700,10.934773445129395
1902,708,10.731890678405762
1881,687,8.931117057800293
1851,686,9.219730377197266
1808,685,9.459975242614746
1779,685,9.616000175476074
1908,692,9.500527381896973
1750,684,9.36855697631836
1737,685,9.398664474487305
1881,684,9.056038856506348
1853,685,9.546147346496582
1837,685,9.3626127243042
1765,683,9.744755744934082
1738,683,9.92607307434082
1552,693,10.77868938446045
1528,695,11.272050857543945
1587,686,10.806333541870117
1397,702,11.866549491882324
1442,701,15.042867660522461
1272,710,13.18222713470459
1246,716,13.646875381469727
1216,718,13.88554859161377
1188,722,14.133119583129883
1172,722,14.28885269165039
1158,725,14.475984573364258
1277,707,13.542885780334473
1141,729,14.561711311340332
1124,730,14.585127830505371
1108,732,14.977079391479492
1091,735,15.329507827758789
1071,739,15.608440399169922
1032,740,15.609549522399902
1014,742,15.554020881652832
995,746,15.999052047729492
1137,721,14.682784080505371
972,750,16.105607986450195
948,752,15.883309364318848
925,755,16.38787078857422
903,760,17.361257553100586
877,764,17.17618751525879
851,768,17.646575927734375
822,771,17.965206146240234
797,774,18.468839645385742
983,743,16.52729606628418
764,779,18.68257713317871
733,782,18.46463394165039
697,788,19.20086097717285
661,794,19.478317260742188
886,757,17.12159538269043
621,801,19.855541229248047
581,805,20.105161666870117
538,813,20.043237686157227
797,766,17.40666389465332
489,821,20.78788185119629
440,830,21.284761428833008
387,838,21.6750545501709
732,773,17.758438110351562
697,782,18.698041915893555
329,848,22.641542434692383
266,857,22.948728561401367
662,787,18.509977340698242
198,864,23.656057357788086
617,796,19.232725143432617
579,797,19.645849227905273
131,875,24.824548721313477
56,883,25.75139808654785
533,805,20.45683479309082
375,832,21.408138275146484
314,840,22.16670036315918
247,849,23.301130294799805
184,858,23.36197853088379
100,869,24.943273544311523
46,901,25.101726531982422
131,1069,24.230134963989258
240,1062,23.992036819458008
497,952,22.261394500732422
108,1078,26.771780014038086
250,1058,27.41852569580078
314,1069,26.447826385498047
396,1048,25.704618453979492
466,1028,24.611446380615234
497,607,17.10740852355957
520,1015,23.406309127807617
583,996,22.807682037353516
638,980,22.334959030151367
688,956,21.358367919921875
732,956,20.299543380737305
781,931,20.279375076293945
815,932,19.50359344482422
850,922,19.021711349487305
918,905,18.718400955200195
947,896,18.896413803100586
969,889,19.177183151245117
996,879,19.289731979370117
1021,872,19.454864501953125
1049,857,19.54024887084961
1114,847,19.027002334594727
1131,839,19.233642578125
1149,835,19.812320709228516
1164,835,19.4888973236084
1181,828,19.585189819335938
1200,824,19.574207305908203
1209,806,19.684955596923828
