0,1,2
1401,754,16.1495361328125
14,1002,33.65836715698242
1537,753,11.316008567810059
615,947,24.245559692382812
727,902,21.607192993164062
133,1072,30.731884002685547
753,919,20.938720703125
834,891,20.168264389038086
868,874,20.55265998840332
1559,734,11.113447189331055
912,876,20.359230041503906
560,946,25.025253295898438
958,857,19.90528678894043
1586,738,11.348023414611816
747,880,23.689550399780273
766,910,23.345178604125977
804,887,23.281509399414062
817,882,23.077375411987305
1056,829,19.615081787109375
1647,707,11.145435333251953
1085,800,19.489469528198242
967,847,20.357690811157227
1037,843,20.913898468017578
1101,825,20.43667221069336
1130,816,20.393516540527344
1162,809,19.62138557434082
1792,715,12.082966804504395
1886,709,11.819609642028809
1898,709,11.633248329162598
1628,720,12.992820739746094
1681,710,12.647390365600586
1783,713,11.646554946899414
1844,696,9.954331398010254
1164,734,14.745429992675781
576,797,19.342676162719727
378,822,21.968013763427734
315,856,22.330081939697266
313,850,22.229881286621094
185,871,23.954792022705078
1011,838,15.933242797851562
558,606,17.48871612548828
614,605,18.163070678710938
664,606,17.842809677124023
713,606,17.27281379699707
752,606,17.100727081298828
831,606,15.490968704223633
850,912,19.364013671875
862,606,16.15260124206543
917,899,19.20085906982422
1010,877,19.083667755126953
1048,859,19.3466739654541
1041,875,19.695690155029297
1338,770,13.234335899353027
1360,752,12.812305450439453
1126,820,18.626365661621094
1594,719,13.148911476135254
1779,718,12.93674373626709
1785,719,13.044681549072266
251,1055,35.967533111572266
398,1030,30.3142032623291
448,1007,30.090036392211914
516,990,29.062992095947266
620,966,26.555923461914062
714,952,23.845195770263672
792,928,22.030990600585938
787,927,22.06839942932129
860,911,21.379241943359375
860,909,21.371946334838867
461,1003,27.593128204345703
925,888,21.759675979614258
939,849,21.829397201538086
949,893,21.44858169555664
517,988,27.04887580871582
613,964,25.454530715942383
664,952,25.401832580566406
1073,848,21.044849395751953
791,912,25.4298095703125
1101,806,21.737028121948242
1112,844,20.11644744873047
820,923,24.690397262573242
812,919,24.64550018310547
1134,828,19.747392654418945
941,874,22.916030883789062
1207,828,19.791759490966797
1137,830,20.575389862060547
1149,830,20.7878475189209
1312,762,18.390565872192383
1272,803,19.175329208374023
30,1052,34.803035736083984
1389,788,15.631525039672852
1328,791,14.08276081085205
671,973,24.150081634521484
716,964,23.298357009887695
1426,770,11.763904571533203
897,918,22.212385177612305
950,911,21.648292541503906
605,999,26.389291763305664
652,987,26.34143829345703
697,972,25.079120635986328
1105,820,20.593280792236328
741,962,24.96759605407715
779,951,25.214622497558594
809,941,24.71803092956543
1139,863,19.366437911987305
918,915,23.81026268005371
1200,825,19.631633758544922
1228,821,19.244651794433594
1232,828,19.724227905273438
1253,826,19.555795669555664
1295,812,19.735366821289062
1159,846,21.77396583557129
1194,840,21.36802101135254
976,819,19.985326766967773
1007,807,19.97534942626953
1346,804,20.594083786010742
1742,723,13.238421440124512
1417,781,18.715076446533203
1545,747,14.202359199523926
1533,731,12.352689743041992
393,1022,31.692995071411133
457,1019,30.344987869262695
517,1001,29.55729103088379
687,964,25.865583419799805
728,945,24.069019317626953
769,939,22.651161193847656
813,932,22.304067611694336
808,929,22.388683319091797
256,1069,29.02979850769043
344,1063,28.2978458404541
850,918,21.767255783081055
882,915,21.898733139038086
400,1031,27.980913162231445
913,904,21.213130950927734
468,1012,26.76429557800293
948,892,20.98493766784668
522,1001,26.86623191833496
948,890,20.961421966552734
973,869,20.79901123046875
1033,860,20.807016372680664
1015,863,20.915281295776367
1052,860,20.904008865356445
1071,855,20.761371612548828
1095,849,20.558420181274414
1118,841,20.697574615478516
1116,838,20.732975006103516
1135,846,20.202213287353516
1141,817,19.831445693969727
882,908,24.6827335357666
942,891,23.915332794189453
1036,877,22.517749786376953
1055,872,22.491107940673828
1078,861,22.24371337890625
462,1022,29.778169631958008
570,993,29.126066207885742
837,922,22.368972778320312
903,915,22.104942321777344
971,890,20.643705368041992
1017,870,21.031139373779297
1021,867,20.999086380004883
669,981,26.8251953125
677,972,26.686622619628906
1092,843,21.82056999206543
709,954,26.136394500732422
1113,844,20.733163833618164
793,933,25.46493148803711
827,929,25.103361129760742
1173,841,20.59386444091797
1638,734,12.610130310058594
1637,733,12.622153282165527
1560,742,13.727165222167969
1005,874,23.370485305786133
1654,731,12.38343334197998
1275,810,20.05303382873535
1076,859,22.62889862060547
1094,852,22.654569625854492
1299,811,20.036178588867188
1326,803,20.386619567871094
1158,839,22.86733627319336
1191,831,22.330589294433594
1408,791,19.894306182861328
1419,784,19.871461868286133
1319,807,20.32603645324707
1555,753,16.177433013916016
1721,729,15.634740829467773
573,811,18.93357276916504
541,818,19.30423355102539
504,829,19.869783401489258
463,832,19.651077270507812
374,851,20.21614646911621
367,846,20.129405975341797
705,803,17.21636962890625
280,861,21.119796752929688
171,874,22.757543563842773
560,823,19.19502067565918
111,886,23.00419807434082
436,835,19.693422317504883
387,821,21.567689895629883
301,869,22.283557891845703
1034,729,15.290660858154297
838,764,16.866561889648438
839,756,16.733863830566406
753,779,17.696147918701172
700,788,18.17595100402832
673,791,18.610027313232422
323,843,21.54802131652832
646,795,18.345659255981445
617,800,18.91525650024414
515,785,20.41236114501953
78,879,24.1342716217041
406,835,21.49811553955078
321,846,21.36655044555664
283,857,21.510501861572266
218,862,22.71319580078125
221,861,22.685197830200195
65,876,24.38404655456543
