0,1,2
94,631,29.857580184936523
140,631,24.20853614807129
249,654,28.043601989746094
311,675,26.753812789916992
339,671,23.92174530029297
360,665,28.224088668823242
394,692,25.423049926757812
480,682,19.505508422851562
507,698,20.753389358520508
540,694,18.712139129638672
663,724,18.034835815429688
698,738,18.53021240234375
727,730,17.028520584106445
74,620,20.778291702270508
154,639,19.434200286865234
170,638,19.582096099853516
220,641,19.90510368347168
251,649,20.498037338256836
294,657,19.947114944458008
319,660,19.471294403076172
367,672,21.09540557861328
954,780,17.674802780151367
390,668,19.817352294921875
434,682,18.807722091674805
453,688,19.94602394104004
1082,805,20.71463394165039
493,693,19.044466018676758
526,699,19.08500862121582
563,707,18.246109008789062
590,709,19.276260375976562
627,712,18.532258987426758
1213,828,18.80828857421875
660,720,18.337575912475586
691,726,18.878074645996094
1250,820,18.560001373291016
1271,828,18.840747833251953
721,732,19.35070037841797
1286,837,18.95461654663086
754,738,19.596113204956055
784,746,19.68282699584961
1355,845,18.166423797607422
821,746,18.46430778503418
847,755,19.936237335205078
1381,845,18.546371459960938
1408,855,19.56814956665039
882,760,19.64124298095703
1431,868,19.0545654296875
908,765,18.985355377197266
939,769,19.3906192779541
963,775,19.024036407470703
1000,777,19.28873634338379
1525,861,19.347461700439453
1538,879,19.100954055786133
1021,785,19.92359161376953
1558,885,18.93699073791504
1041,794,19.31804847717285
1594,889,19.192590713500977
1086,793,20.33177375793457
1611,893,19.312345504760742
1108,799,20.442203521728516
1637,898,21.08226203918457
1142,805,21.362274169921875
1161,820,21.896242141723633
1674,901,19.738239288330078
1690,904,18.877038955688477
1196,814,20.16437339782715
1232,820,21.003507614135742
1718,910,19.978609085083008
1254,826,22.15764045715332
1741,916,21.81770133972168
1284,832,20.822099685668945
1309,838,21.370569229125977
1336,840,22.069087982177734
1816,930,19.4205379486084
1838,934,17.89877700805664
1365,845,20.577943801879883
1385,849,20.996904373168945
1870,938,19.60328483581543
1418,856,21.090442657470703
1884,944,19.679256439208984
1448,860,20.448810577392578
1479,866,20.584890365600586
1904,955,19.515592575073242
1548,879,20.980173110961914
1577,885,20.521400451660156
1609,890,19.92783546447754
1632,895,19.607004165649414
1658,901,20.069149017333984
1682,904,19.144329071044922
1708,908,19.31757926940918
1730,912,20.462570190429688
1756,917,19.617353439331055
1780,921,19.567214965820312
1808,925,20.821908950805664
1831,931,20.06538200378418
1857,936,19.917461395263672
1877,938,20.208114624023438
1887,933,16.496150970458984
1807,919,19.619821548461914
1699,898,17.834245681762695
1892,931,19.709421157836914
1516,846,18.73989486694336
1860,945,19.16560935974121
1853,929,19.38181495666504
1471,859,18.811901092529297
1837,924,19.29534339904785
1452,856,19.51215362548828
1817,922,20.254898071289062
1799,921,20.623567581176758
1437,855,19.623565673828125
1785,914,21.0930118560791
1415,851,20.157556533813477
1392,848,20.173583984375
1767,913,21.468950271606445
1733,904,20.63793182373047
1711,904,20.183685302734375
1336,838,19.625368118286133
1698,899,19.955642700195312
1297,830,19.18737030029297
1681,895,19.055774688720703
1278,823,19.58465003967285
1662,893,18.89737319946289
1643,889,19.370407104492188
1625,885,19.54974937438965
1590,880,19.87037467956543
1568,876,21.259685516357422
1551,874,21.360837936401367
1154,804,20.57240867614746
1530,870,20.264108657836914
1135,799,19.156339645385742
1116,793,18.083694458007812
1495,863,20.242399215698242
1060,796,19.602474212646484
1067,791,19.178207397460938
1452,857,18.9702091217041
1032,784,20.10576820373535
1438,853,19.380006790161133
1418,848,19.80769920349121
1398,843,19.803789138793945
965,770,18.512802124023438
1375,840,19.144609451293945
1360,838,19.9262752532959
918,761,20.019161224365234
1314,832,20.990127563476562
893,752,19.938865661621094
1292,827,19.934547424316406
884,754,18.53086280822754
1272,825,20.241697311401367
829,734,19.465986251831055
1259,819,19.657304763793945
812,757,19.672935485839844
1234,816,19.730213165283203
767,730,18.663881301879883
1215,813,18.800081253051758
1190,809,19.63011932373047
1172,803,19.987756729125977
749,735,19.26536750793457
729,728,18.372344970703125
1153,803,19.809864044189453
1139,796,18.80771255493164
685,707,18.02264404296875
1114,793,19.009183883666992
661,713,19.600927352905273
1094,790,21.595565795898438
1072,786,21.21567153930664
1055,783,21.193946838378906
615,709,19.829181671142578
1030,782,20.49209213256836
1011,774,20.87511444091797
566,698,19.0556583404541
990,772,19.62100601196289
537,693,19.455591201782227
973,768,19.315366744995117
486,690,20.537778854370117
947,764,19.726940155029297
462,686,20.11783790588379
925,760,20.62146759033203
441,659,20.670284271240234
906,758,20.543052673339844
611,543,18.002355575561523
428,685,20.201969146728516
888,754,19.355276107788086
388,674,19.751094818115234
858,749,20.440256118774414
840,746,21.409061431884766
822,742,20.259918212890625
338,662,19.8201904296875
316,658,20.026241302490234
801,738,21.244911193847656
287,656,22.472694396972656
773,735,24.69070816040039
750,731,20.774232864379883
268,644,23.981216430664062
730,726,19.14984703063965
207,638,21.43848419189453
704,723,20.11857032775879
677,718,21.473960876464844
655,715,20.04282569885254
638,712,19.33419418334961
616,707,20.309856414794922
67,617,25.24854850769043
595,702,25.86670684814453
564,698,19.676767349243164
51,608,22.87816047668457
542,694,20.614864349365234
520,690,22.0327205657959
497,686,23.839069366455078
469,683,25.979658126831055
445,677,25.3236141204834
420,674,22.434667587280273
393,668,26.029682159423828
368,665,28.69801139831543
343,660,30.562702178955078
317,656,26.674402236938477
296,652,30.442296981811523
269,647,37.30543518066406
236,644,28.995187759399414
226,649,35.524627685546875
193,631,40.16114044189453
133,624,25.4440975189209
124,629,37.32640075683594
66,610,34.49735641479492
1905,954,20.411941528320312
1865,932,20.245267868041992
1822,924,19.69623374938965
1780,915,21.785879135131836
1735,908,20.31304931640625
1691,900,20.390504837036133
1646,892,19.8975887298584
1607,885,19.86621856689453
1908,952,22.19498634338379
1564,877,20.279972076416016
1474,861,19.785783767700195
1875,932,20.746387481689453
1836,926,19.658166885375977
1432,854,19.93429183959961
1794,917,19.370441436767578
1384,846,19.697845458984375
1754,911,20.466114044189453
1340,837,20.151596069335938
1714,903,20.14652442932129
1299,827,20.335407257080078
1255,821,20.563213348388672
1678,897,20.27960968017578
1211,812,20.04400634765625
1634,890,19.336008071899414
1596,882,20.01628303527832
1162,806,20.544675827026367
1557,875,20.277185440063477
1117,797,19.90463638305664
1518,868,20.29486083984375
1083,792,20.368574142456055
1045,783,20.08526039123535
1481,861,20.155027389526367
995,775,19.701744079589844
1435,854,19.71297836303711
1402,847,19.19013023376465
954,770,19.08456039428711
918,762,19.854507446289062
1358,840,19.75356101989746
875,755,18.908536911010742
1322,833,18.92633819580078
1280,825,20.018718719482422
831,748,20.08713722229004
792,740,19.120906829833984
1249,820,19.107879638671875
1211,811,19.515260696411133
751,734,19.17121696472168
712,726,18.378890991210938
1176,805,18.979597091674805
667,718,18.88530731201172
1139,798,19.18393898010254
627,713,18.954465866088867
1105,793,19.521102905273438
1065,788,19.211679458618164
595,702,18.51036834716797
547,700,18.37646484375
1035,780,18.93283462524414
511,693,18.92592430114746
998,774,18.554649353027344
962,771,19.431320190429688
469,686,19.904808044433594
425,679,20.22743797302246
930,763,20.037067413330078
390,672,19.392345428466797
893,759,19.07525062561035
864,753,18.825342178344727
350,665,19.48699378967285
307,659,19.694917678833008
826,747,19.4724063873291
795,743,19.314165115356445
277,651,20.107173919677734
762,737,19.072343826293945
735,731,19.21296501159668
165,642,21.277677536010742
701,726,20.113994598388672
665,719,19.166284561157227
135,631,20.540428161621094
632,714,18.851999282836914
55,619,20.821992874145508
576,702,20.36301040649414
53,615,21.302135467529297
547,697,19.468557357788086
520,694,18.834638595581055
491,691,20.368877410888672
461,685,21.25296974182129
434,681,20.55013084411621
409,676,19.917522430419922
384,667,20.90571403503418
353,667,21.584043502807617
327,662,21.190332412719727
297,657,25.762590408325195
274,652,23.825054168701172
222,642,22.459936141967773
180,641,22.00083351135254
309,638,29.75092887878418
428,680,26.285083770751953
717,724,20.267873764038086
748,713,19.344993591308594
97,621,22.758712768554688
811,744,21.46077537536621
137,619,23.153501510620117
203,641,18.546817779541016
910,766,18.857006072998047
222,636,19.6246337890625
289,646,21.32955551147461
329,666,20.93133544921875
338,663,20.30664825439453
452,675,19.67647361755371
1127,801,18.978126525878906
535,692,19.404027938842773
1198,805,19.151098251342773
579,698,20.069812774658203
663,713,18.009336471557617
743,728,17.97688102722168
1314,831,18.579023361206055
1373,844,17.76249122619629
772,733,18.97928810119629
1472,869,18.819171905517578
1870,932,20.064556121826172
1410,852,19.728687286376953
1489,863,20.884540557861328
1659,896,20.69348907470703
1698,901,21.25299644470215
1790,920,22.701215744018555
1865,931,21.20912742614746
1897,950,20.49707794189453
23,591,41.954627990722656
125,608,33.52365493774414
228,643,25.63401222229004
255,646,29.341665267944336
380,658,21.0455322265625
413,670,24.567514419555664
494,675,21.97886085510254
643,710,20.16875457763672
138,625,25.65006446838379
199,642,24.425983428955078
301,656,23.883262634277344
916,774,20.156124114990234
484,680,21.505613327026367
1117,782,18.048629760742188
749,729,19.839366912841797
778,726,19.55745506286621
1272,826,19.98184585571289
1321,810,19.523618698120117
1391,832,20.052608489990234
1455,852,21.259065628051758
1512,868,20.38153076171875
1541,862,20.31298828125
1163,801,19.88726234436035
1636,880,22.039546966552734
1691,888,21.761207580566406
1264,820,20.72575569152832
1312,828,20.760019302368164
1724,891,20.978822708129883
1781,905,20.989633560180664
1832,915,19.657901763916016
1891,925,21.078876495361328
1464,853,20.491533279418945
1516,866,20.59771156311035
1528,881,20.69948959350586
1613,882,19.609548568725586
1664,893,20.322019577026367
1678,883,20.34975242614746
1806,919,20.89164924621582
1908,950,20.086185455322266
1871,927,18.431947708129883
1561,864,19.552865982055664
1909,951,21.455020904541016
1466,858,18.540969848632812
1888,948,20.75800132751465
1423,846,18.432039260864258
1877,930,19.593076705932617
1829,919,19.345069885253906
1743,902,20.862384796142578
1694,895,19.792522430419922
1651,887,19.486835479736328
1081,774,18.35157585144043
1608,876,20.197187423706055
984,772,18.85681915283203
1460,853,19.99147605895996
925,757,18.57064437866211
881,736,19.369691848754883
1410,842,21.389650344848633
843,756,19.807241439819336
1351,813,18.926462173461914
1313,827,18.88673210144043
1271,816,18.446002960205078
660,708,18.545930862426758
1168,799,18.98125648498535
1020,772,19.685176849365234
975,764,16.869590759277344
918,754,23.179697036743164
352,659,19.398540496826172
875,746,19.042110443115234
819,737,20.887956619262695
774,730,20.277746200561523
723,720,17.538997650146484
666,713,18.891462326049805
620,702,20.10134506225586
564,691,22.889358520507812
520,683,24.83025360107422
464,674,21.730670928955078
408,665,23.51071548461914
357,656,26.311683654785156
302,648,24.897172927856445
244,637,27.621660232543945
210,644,27.500652313232422
164,631,31.18417739868164
